accountID,roomID,star,reiewMsg,revTime
A900,5,3,Down-sized value-added info-mediaries,16:42
A96,8,4,Seamless user-facing framework,4:52
A345,3,1,Advanced web-enabled projection,7:51
A140,4,2,Integrated global frame,12:52
A485,5,5,Intuitive transitional moratorium,9:20
A935,14,3,Enhanced optimizing adapter,8:31
A205,9,3,Stand-alone object-oriented paradigm,23:40
A81,13,2,Robust systematic approach,16:33
A366,13,2,Team-oriented zero defect approach,5:52
A863,8,4,Open-architected national superstructure,9:56
A177,11,2,Operative multi-tasking model,6:12
A360,2,3,Innovative hybrid function,23:16
A05,7,1,Up-sized radical synergy,16:17
A18,2,1,Reverse-engineered global structure,11:14
A459,5,2,Profit-focused grid-enabled hub,8:17
A136,14,4,Exclusive full-range open architecture,2:16
A445,4,2,Compatible full-range complexity,0:18
A902,3,2,Fully-configurable user-facing Graphic Interface,8:42
A867,11,4,Adaptive mission-critical functionalities,22:01
A177,10,4,Reduced user-facing leverage,12:47
A400,12,5,Reverse-engineered didactic software,14:41
A318,11,5,Proactive systematic attitude,8:43
A961,7,1,Self-enabling mission-critical paradigm,18:48
A883,15,4,Distributed optimal ability,12:53
A334,8,2,De-engineered bi-directional forecast,1:27
A454,5,1,Visionary non-volatile analyzer,6:13
A797,14,1,Fundamental cohesive secured line,6:54
A1042,7,1,Enterprise-wide zero defect archive,18:49
A675,2,1,Upgradable 3rd generation collaboration,6:02
A347,9,5,Multi-tiered context-sensitive matrices,15:05
A957,12,4,Cross-group cohesive methodology,7:01
A678,3,4,Organized coherent methodology,7:10
A896,6,5,Exclusive bottom-line framework,20:40
A221,7,2,De-engineered interactive adapter,3:48
A774,6,2,Expanded incremental hardware,13:47
A322,13,5,Innovative optimizing groupware,23:23
A558,8,5,Proactive context-sensitive hierarchy,0:48
A393,9,4,Universal responsive utilisation,4:38
A657,7,2,Realigned homogeneous matrices,4:06
A955,3,4,Focused full-range website,16:04
A897,2,1,Horizontal methodical instruction set,2:19
A799,8,2,Cross-platform heuristic budgetary management,22:55
A603,5,2,Implemented eco-centric neural-net,15:10
A23,3,4,Down-sized analyzing product,8:47
A209,6,5,Ameliorated uniform framework,8:21
A104,14,1,User-friendly leading edge time-frame,10:16
A575,2,1,Devolved background challenge,16:41
A28,14,2,Ergonomic secondary project,6:34
A636,7,3,Progressive asymmetric forecast,14:20
A211,13,1,Organized demand-driven capability,6:39
A35,13,1,Diverse intangible adapter,10:14
A335,7,3,Up-sized multi-state standardization,8:54
A252,13,1,Programmable radical attitude,19:39
A1018,14,2,Multi-tiered 24/7 moratorium,13:12
A405,2,2,Robust regional help-desk,0:44
A360,10,1,Multi-channelled intangible leverage,1:05
A1008,15,2,Devolved eco-centric function,20:27
A410,11,5,Devolved maximized utilisation,19:49
A659,5,1,Multi-channelled maximized attitude,2:06
A154,9,1,Cross-group homogeneous model,13:45
A358,6,2,Self-enabling systematic complexity,16:01
A941,1,5,Vision-oriented zero administration customer loyalty,13:10
A142,10,3,Programmable secondary process improvement,17:08
A492,3,4,Programmable heuristic functionalities,0:25
A285,10,4,Cross-group asymmetric matrix,12:19
A388,15,1,Multi-tiered human-resource data-warehouse,22:13
A561,11,4,Visionary human-resource complexity,21:50
A482,15,3,Organic multi-tasking help-desk,6:04
A273,13,3,Virtual foreground middleware,13:22
A668,3,4,Triple-buffered foreground neural-net,6:15
A742,12,1,Implemented uniform analyzer,20:50
A882,5,5,Future-proofed encompassing hub,12:00
A613,2,1,Right-sized 5th generation access,1:57
A327,15,2,Advanced impactful archive,4:20
A76,9,3,Focused disintermediate analyzer,13:02
A434,13,5,Adaptive coherent emulation,1:37
A551,12,5,Visionary intermediate analyzer,19:16
A909,6,4,Front-line multi-tasking system engine,14:27
A566,10,5,Switchable global contingency,15:15
A892,4,1,Multi-channelled even-keeled flexibility,13:53
A412,10,2,Multi-layered leading edge strategy,12:56
A381,7,5,Open-architected needs-based solution,17:17
A285,3,3,Extended empowering service-desk,9:24
A79,4,4,Front-line fresh-thinking firmware,3:43
A160,12,3,Self-enabling contextually-based function,12:00
A163,13,3,Ergonomic intangible solution,14:59
A260,14,3,Devolved exuding help-desk,0:22
A587,3,5,Open-architected object-oriented functionalities,4:35
A614,2,4,Polarised user-facing framework,3:33
A794,13,3,Organized non-volatile success,4:11
A982,15,1,Cross-platform holistic monitoring,9:51
A569,11,2,Innovative executive matrices,14:22
A750,3,3,Multi-layered directional service-desk,0:57
A316,6,5,Synchronised next generation parallelism,2:37
A24,6,5,Object-based global firmware,23:29
A855,3,1,Expanded coherent strategy,12:09
A883,13,3,Upgradable multi-tasking success,16:46
A647,13,4,Up-sized mobile implementation,6:10
A928,7,3,Multi-tiered interactive knowledge base,21:42
A79,5,5,Pre-emptive solution-oriented analyzer,18:51
A306,12,5,Organized bi-directional Graphical User Interface,22:16
A844,1,4,Robust object-oriented frame,2:29
A902,8,3,Customizable user-facing intranet,16:03
A631,8,5,Self-enabling motivating hierarchy,14:17
A159,6,2,Virtual needs-based middleware,10:24
A307,13,3,Exclusive motivating process improvement,0:22
A836,15,5,Universal demand-driven initiative,2:58
A896,15,4,Synergized incremental productivity,4:35
A711,15,5,Robust modular orchestration,15:38
A841,5,4,Grass-roots tangible product,6:52
A716,13,3,Advanced dynamic secured line,19:27
A869,4,4,Synergistic coherent flexibility,20:58
A255,4,2,Horizontal directional hierarchy,18:51
A308,6,3,Persevering interactive architecture,21:27
A568,8,1,Multi-layered motivating ability,11:45
A417,10,2,Switchable optimal local area network,1:58
A777,7,4,Robust user-facing groupware,12:34
A987,10,1,User-friendly mobile Graphic Interface,10:15
A141,2,3,Synergistic executive support,1:08
A941,6,5,Profound contextually-based groupware,13:02
A187,13,3,Sharable real-time analyzer,0:16
A973,13,1,Expanded impactful service-desk,6:13
A459,12,2,Implemented logistical secured line,0:15
A351,12,2,Exclusive optimal flexibility,10:56
A1016,2,4,User-centric 24/7 strategy,22:22
A301,5,4,Front-line multi-state time-frame,11:48
A242,13,5,Advanced bottom-line neural-net,13:33
A998,9,2,Fundamental intangible extranet,13:29
A526,4,3,Self-enabling object-oriented middleware,10:23
A260,12,3,Team-oriented holistic superstructure,19:36
A684,7,1,Assimilated grid-enabled product,22:45
A161,13,1,Diverse explicit local area network,0:53
A558,9,1,Right-sized empowering leverage,7:04
A419,7,1,Seamless actuating website,1:56
A277,10,2,Reactive didactic data-warehouse,23:53
